id_kpi,id_kpi_source,source_catalogue,pole_id,pole_source,intitule_du_kpi,categorie,formule_de_calcul,frequence_de_collecte,seuil_cible,unite_de_mesure,sens_performance
"KPI-125","KPI-051","GMC_FICHE_COLLECTE_V2 / FORMULE","BID","FORMATION","EFFICACITE DU FORMATEUR","Performance opérationnelle","(Nombre de participants ayant atteint les objectifs pédagogiques ÷ Nombre total de participants formés) × 100.","Mensuel",">= 80%","pourcentage","hausse_favorable"
"KPI-126","KPI-052","GMC_FICHE_COLLECTE_V2 / FORMULE","BID","FORMATION","TAUX DE FORMATION REALISEE","Performance opérationnelle","Nombre d’heures de formation prévues au planning ÷Nombre d’heures de formation effectivement réalisées​×100","Mensuel",">= 100%","pourcentage","hausse_favorable"
"KPI-127","KPI-053","GMC_FICHE_COLLECTE_V2 / FORMULE","PMG","ACHATS & MOYENS GENERAUX","Montant total des achats engagés","Pilotage budgétaire / Dépenses","Somme des bons de commande + somme des bons d'achats","Mensuel","Selon objectif","montant_fcfa_xof","hausse_favorable"
"KPI-128","KPI-054","GMC_FICHE_COLLECTE_V2 / FORMULE","PMG","ACHATS & MOYENS GENERAUX","Tx% de conformité de bon de commande","Conformité des processus achats","(Nb de commande conformes / Nb de commande émises) x 100","Mensuel",">= 95%","pourcentage","hausse_favorable"
"KPI-129","KPI-055","GMC_FICHE_COLLECTE_V2 / FORMULE","PMG","ACHATS & MOYENS GENERAUX","Tx% de non-conformité des produits","Qualité des fournisseurs","(Nb de produits retournés ou non conformes/ total des produits livrés) x 100","Mensuel","<= 1%","pourcentage","baisse_favorable"
"KPI-130","KPI-056","GMC_FICHE_COLLECTE_V2 / FORMULE","PMG","ACHATS & MOYENS GENERAUX","Délais moyen d’approvisionnement (consommable standards)","Performance opérationnelle","Somme des délais individuels / nonmbre de demandes traités","Mensuel","10 <= jours <= 15","jours","baisse_favorable"
"KPI-131","KPI-057","GMC_FICHE_COLLECTE_V2 / FORMULE","PMG","ACHATS & MOYENS GENERAUX","Délais moyen d’approvisionnement (matériel informatique, mobilier et matériel spécifique)","Performance opérationnelle","(Somme des délais individuels) / nonmbre de demandes traités","Mensuel","<= 30 jours","jours","baisse_favorable"
"KPI-132","KPI-058","GMC_FICHE_COLLECTE_V2 / FORMULE","PMG","ACHATS & MOYENS GENERAUX","Taux de réalisation des maintenances préventives","Maintenance","(Nb de maintenances préventives réalisés/ Nb de maintenances préventives planifiés) x 100","Mensuel",">= 95%","pourcentage","hausse_favorable"
"KPI-133","KPI-059","GMC_FICHE_COLLECTE_V2 / FORMULE","PMG","ACHATS & MOYENS GENERAUX","Tx de service client","Qalité de service","(Nombre de demandes satisfaites /total des demandes exprimées) x 100","Mensuel",">= 90%","pourcentage","hausse_favorable"
"KPI-134","KPI-060","GMC_FICHE_COLLECTE_V2 / FORMULE","PMG","ACHATS & MOYENS GENERAUX","Tx de disponibilité du stock critique","Gestion des stocks","Nb d’articles critiques disponibles/Nb total d'articles critiques","Hebdomadaire",">= 90%","pourcentage","hausse_favorable"
